Model,IoU,Dice,Acc,Sen,Spe
best_model.pth,0.11774906516075134,0.21037193313241004,0.6320009231567383,0.5613252028822899,0.6387972667813301
best_efficientnet-b4_od1.pth,0.08862474635243416,0.16271109655499458,0.11139411926269531,0.9868926912546158,0.027373616211116315
best_resnet34_od1.pth,0.08561770841479302,0.15763048604130744,0.11444664001464844,0.9470868736505509,0.03459100564941764
best_custom_od0.pth,0.0836934793740511,0.1543704755604267,0.36629486083984375,0.6614405125379562,0.3379721224308014
