epoch,train_loss,valid_loss
1,0.9484809041023254,0.9501742124557495
2,0.9480079213778178,0.9500906467437744
3,0.9443549712498983,0.9497513175010681
4,0.9287513693173727,0.945593535900116
5,0.9126400947570801,0.9227793216705322
6,0.9063376386960348,0.9098522663116455
7,0.9040499528249105,0.9069280028343201
8,0.9037584463755289,0.9037975072860718
9,0.9027827382087708,0.8981452584266663
10,0.8950209418932596,0.8960371613502502
11,0.890099028746287,0.9048272967338562
12,0.8386585712432861,0.8908928632736206
13,0.7992581725120544,0.8933623433113098
14,0.7663574616114298,0.8774330019950867
15,0.7068664232889811,1.0181682109832764
16,0.6570075154304504,1.007094383239746
17,0.6414475639661154,0.9049460291862488
18,0.6213916738828024,0.7576636075973511
19,0.6075502435366312,0.9195114970207214
20,0.5938507517178854,0.8412975668907166
21,0.5833549896876017,0.6731551289558411
22,0.5706494847933451,0.5957748889923096
23,0.5639807979265848,0.5958545207977295
24,0.5559560457865397,0.5777924656867981
25,0.5485026240348816,0.5656812191009521
26,0.5373813708623251,0.5483857989311218
27,0.5289356907208761,0.5342890620231628
28,0.5206822156906128,0.5157831907272339
29,0.5152005553245544,0.5067304372787476
30,0.5069119731585184,0.5082295536994934
31,0.4999437928199768,0.5047991275787354
32,0.4899511933326721,0.502355694770813
33,0.48010070125261944,0.4971150755882263
34,0.473261962334315,0.4870639443397522
35,0.4629995822906494,0.49478551745414734
36,0.4567340513070424,0.5065382122993469
37,0.4466504752635956,0.5028313994407654
38,0.43906118472417194,0.5023502111434937
39,0.43384989102681476,0.4787138104438782
40,0.42991697788238525,0.44816064834594727
41,0.4218768775463104,0.45763975381851196
42,0.4217271109422048,0.42177021503448486
43,0.41816388567288715,0.4234604835510254
44,0.4109046161174774,0.40675997734069824
45,0.40766709049542743,0.40158194303512573
46,0.4074213107426961,0.3994525671005249
47,0.4029851456483205,0.3906702995300293
48,0.40117470423380536,0.38934749364852905
49,0.4007001916567485,0.3837307095527649
50,0.3988668918609619,0.38539543747901917
51,0.3974811832110087,0.3918042480945587
52,0.39223529895146686,0.41259390115737915
53,0.39022233088811237,0.3901336193084717
54,0.3884413242340088,0.37938791513442993
55,0.38488486409187317,0.3726661503314972
56,0.3837413986523946,0.37254172563552856
57,0.38088839252789813,0.37641334533691406
58,0.38173770904541016,0.37017595767974854
59,0.38115935524304706,0.3672766089439392
60,0.3807242015997569,0.36635956168174744
61,0.3784683048725128,0.3677123188972473
62,0.37856878836949664,0.36489057540893555
63,0.37687474489212036,0.36567747592926025
64,0.37695062160491943,0.37059488892555237
65,0.3760529160499573,0.3617565929889679
66,0.37426310777664185,0.39084169268608093
67,0.37326077620188397,0.36094579100608826
68,0.3714490632216136,0.35934582352638245
69,0.3718472917874654,0.3605441749095917
70,0.37356188893318176,0.36875832080841064
71,0.3708660999933879,0.35964107513427734
72,0.36864587664604187,0.35746246576309204
73,0.3694181243578593,0.3572014570236206
74,0.3689492742220561,0.3582157492637634
75,0.3680989146232605,0.3617039918899536
76,0.36683062712351483,0.35607656836509705
77,0.3702777822812398,0.36124277114868164
78,0.36521374185880023,0.35750606656074524
79,0.3657140036424001,0.35532310605049133
80,0.36668382088343304,0.35640251636505127
81,0.36447231968243915,0.3559921383857727
82,0.3645457824071248,0.3642716109752655
83,0.36326709389686584,0.3544349670410156
84,0.3598143259684245,0.35498911142349243
85,0.36264342069625854,0.3537280261516571
86,0.3649747272332509,0.3641386330127716
87,0.36161182324091595,0.35398855805397034
88,0.3631186783313751,0.35618627071380615
89,0.36365999778111774,0.35459449887275696
90,0.36012033621470135,0.35481879115104675
91,0.360849529504776,0.3545757830142975
92,0.36031166712443036,0.35249006748199463
93,0.3576408525307973,0.36102384328842163
94,0.35833903153737384,0.353046715259552
95,0.3571987549463908,0.3514116406440735
96,0.3568652868270874,0.3538919687271118
97,0.35482298334439594,0.34950652718544006
98,0.3569651246070862,0.34892040491104126
99,0.35475194454193115,0.3553217649459839
100,0.3539157509803772,0.3511093854904175
101,0.3533874452114105,0.3478032052516937
102,0.3550401230653127,0.34890201687812805
103,0.35493643085161847,0.3501040041446686
104,0.3541179696718852,0.34678786993026733
105,0.3547428448994954,0.34958600997924805
106,0.35465095440546673,0.35097572207450867
107,0.35723188519477844,0.3501565456390381
108,0.35460049907366437,0.3536549508571625
