Image,IoU,Dice,Accuracy,Sensitivity,Specificity
drive_01_test.png,0.12382540106773376,0.22036412358283997,0.679168701171875,0.5091454386711121,0.69579017162323
drive_02_test.png,0.15218810737133026,0.2641723155975342,0.7324714660644531,0.4690212607383728,0.7625232338905334
drive_03_test.png,0.1228288859128952,0.21878468990325928,0.5141334533691406,0.6803097128868103,0.4956681728363037
drive_04_test.png,0.11933845281600952,0.21323032677173615,0.5649032592773438,0.6363636255264282,0.5576062798500061
drive_05_test.png,0.11733230948448181,0.2100222259759903,0.4808387756347656,0.7372345924377441,0.45435911417007446
drive_06_test.png,0.14316849410533905,0.2504766285419464,0.6265678405761719,0.6424083113670349,0.6248637437820435
drive_07_test.png,0.12253204733133316,0.21831367909908295,0.6200675964355469,0.5810980200767517,0.6239830255508423
drive_08_test.png,0.11238748580217361,0.2020653635263443,0.4838829040527344,0.7567698955535889,0.45809099078178406
drive_09_test.png,0.10155241191387177,0.18438053131103516,0.7770195007324219,0.31090301275253296,0.8181391954421997
drive_10_test.png,0.10900535434484482,0.19658219814300537,0.5311965942382812,0.6994324326515198,0.5161688327789307
drive_11_test.png,0.13143759965896606,0.2323373258113861,0.6662940979003906,0.5635829567909241,0.6764031648635864
drive_12_test.png,0.1279878467321396,0.22693124413490295,0.6321830749511719,0.6253092885017395,0.6328325867652893
drive_13_test.png,0.12797974050045013,0.22691850364208221,0.7373733520507812,0.39481088519096375,0.7744343876838684
drive_14_test.png,0.11727862060070038,0.2099362164735794,0.5865745544433594,0.6842655539512634,0.5780482292175293
drive_15_test.png,0.09837318956851959,0.17912526428699493,0.671661376953125,0.4967731833457947,0.6852532625198364
drive_16_test.png,0.12601499259471893,0.22382470965385437,0.765960693359375,0.3745289742946625,0.8047206997871399
drive_17_test.png,0.09236153215169907,0.16910432279109955,0.7813377380371094,0.26415181159973145,0.8289108872413635
drive_18_test.png,0.09888342022895813,0.17997071146965027,0.7500190734863281,0.3453890383243561,0.7849281430244446
drive_19_test.png,0.1078421100974083,0.1946885883808136,0.5117301940917969,0.715732991695404,0.49339574575424194
drive_20_test.png,0.1026633009314537,0.18620969355106354,0.5266342163085938,0.7392730712890625,0.5098254680633545
